Cap,#,Player,DOB,HT,WT,Games (W-D-L),Goals,Seasons,Debut,Last
158,26,"Hood, Edmund",1898-04-29,168cm,,9 (4-0-5),4,1916-1919,18y 28d,21y 39d
193,31,"Stott, Wilfred",1889-03-18,178cm,79kg,9 (7-0-2),,1919-1920,30y 81d,31y 135d
207,14,"Moffatt, Hugh",1894-02-19,185cm,95kg,9 (6-0-3),2,1921-1922,27y 84d,28y 83d
302,31,"Goding, Fred",1905-02-26,168cm,67kg,9 (7-0-2),9,1928,23y 97d,23y 216d
333,19,"Anderson, Jack",1908-10-29,180cm,83kg,9 (7-0-2),2,1932-1933,23y 212d,24y 336d
343,10,"Garvie, Bill",1910-12-31,170cm,71kg,9 (4-0-5),,1934-1935,23y 139d,24y 250d
356,5,"OBrien, Cyril",1912-08-26,183cm,83kg,9 (2-0-7),,1936,23y 264d,24y 10d
376,34,"Brett, Stan",1913-03-07,178cm,79kg,9 (7-0-2),5,1938,25y 75d,25y 159d
483,12,"Williams, Bill",1929-06-22,180cm,76kg,9 (6-0-3),3,1948-1949,19y 60d,20y 52d
553,27,"Gorwell, John",1935-02-12,160cm,76kg,9 (3-0-6),,1955,20y 77d,20y 168d
575,12,"Pilcher, Brian",1935-11-22,180cm,91kg,9 (7-0-2),2,1957-1958,21y 151d,22y 169d
630,9,"Benetti, Edo",1941-12-02,183cm,80kg,9 (5-0-4),7,1961-1962,19y 192d,20y 217d
655,53,"Caulfield, John",1944-01-25,183cm,80kg,9 (3-0-6),,1963,19y 148d,19y 225d
785,23,"Hummel, Jon",1957-01-31,177cm,72kg,9 (5-1-3),7,1977-1978,20y 70d,21y 214d
827,42,"Vernon, Daryl",1960-06-09,175cm,76kg,9 (5-0-4),3,"1981, 1985",20y 348d,25y 14d
970,20,"Elliott, Jamie",1973-02-06,185cm,85kg,9 (3-1-5),1,1994-1995,21y 48d,22y 158d
1016,26,"Poyas, Ezra",1981-03-24,184cm,86kg,9 (4-0-5),6,2000-2002,19y,21y 34d
1112,45,"OHanlon, Brett",1993-07-17,189cm,87kg,9 (4-1-4),2,"2012, 2014",18y 328d,20y 353d
1122,44,"Arnot, Matt",1993-10-21,180cm,86kg,9 (5-0-4),5,2013-2015,19y 252d,21y 185d
1163,40,"Coleman-Jones, Callum",1999-06-13,200cm,102kg,9 (4-1-4),11,"2019, 2021",19y 346d,22y 69d
1164,6,"Naish, Patrick",1999-01-15,182cm,75kg,9 (2-0-7),3,2019-2021,20y 143d,22y 177d
1165,43,"Eggmolesse-Smith, Derek",1998-05-04,180cm,80kg,9 (6-0-3),,2019-2021,21y 63d,22y 334d
58,,"Davison, Alick",1886-10-12,175cm,,8 (3-1-4),1,1910,23y 200d,23y 326d
95,22,"Bennie, Charlie",1887-04-04,,,8 (1-0-7),5,1912,25y 51d,25y 114d
173,28,"Albress, Bill",1897-10-13,180cm,83kg,8 (4-0-4),6,1917-1918,19y 281d,20y 238d
186,7,"Threlfall, George",1899-11-11,188cm,,8 (4-0-4),4,"1919, 1923-1924",19y 173d,24y 195d
336,7,"Farmer, Horrie",1909-08-28,178cm,67kg,8 (6-0-2),14,1933,23y 251d,24y 33d
338,30,"Saunders, Richie",1913-08-08,178cm,81kg,8 (7-0-1),,1933-1934,19y 355d,20y 347d
397,35,"White, Bill",1916-10-06,175cm,76kg,8 (6-0-2),1,1941,24y 202d,24y 286d
413,3,"Colls, Kevin",1922-04-23,177cm,80kg,8 (4-0-4),,"1942, 1946-1947",20y 58d,25y 101d
415,1,"Hinson, Joe",1919-08-31,174cm,76kg,8 (6-0-2),,"1942, 1944",22y 307d,24y 305d
420,28,"Howard, Frank",1923-08-01,170cm,67kg,8 (4-0-4),2,"1943, 1948",19y 280d,25y 27d
424,32,"Doherty, Noel",1921-08-05,178cm,81kg,8 (5-0-3),3,"1943, 1945",21y 297d,23y 259d
453,20,"Balfour, Don",1918-11-11,175cm,73kg,8 (3-0-5),1,1945-1946,26y 259d,27y 202d
522,38,"Hoare, Gavin",1934-07-04,175cm,76kg,8 (1-1-6),3,1952-1953,18y 1d,19y 7d
586,41,"Clarke, Doug",1938-05-11,188cm,80kg,8 (0-0-8),7,1958-1959,20y 27d,21y 110d
682,13,"Walford, Bill",1947-08-11,191cm,91kg,8 (6-0-2),1,1965-1966,18y 3d,18y 311d
687,46,"Orchard, Ray",1946-08-09,194cm,94kg,8 (6-0-2),2,1966-1968,19y 355d,21y 360d
688,35,"Campbell, Blair",1946-08-20,178cm,78kg,8 (4-0-4),12,"1966, 1968",20y,21y 335d
844,33,"Murrie, Richard",1955-06-25,189cm,89kg,8 (3-0-5),,1983,27y 309d,27y 358d
877,37,"Thornton, Ron",1961-06-19,183cm,80kg,8 (2-0-6),6,1986,24y 283d,25y 30d
939,39,"Mrakov, John",1968-11-17,189cm,91kg,8 (3-0-5),,1991,22y 176d,22y 273d
951,43,"Livingstone, Tim",1967-09-21,183cm,79kg,8 (0-0-8),1,1992-1993,24y 308d,25y 335d
981,26,"Sullivan, Chris",1972-08-08,180cm,75kg,8 (4-0-4),4,1995-1996,22y 264d,24y 24d
1011,43,"Hollands, Ben",1978-01-12,177cm,75kg,8 (3-0-5),5,1999,21y 109d,21y 172d
1042,16,"Morrison, Shane",1981-01-10,193cm,90kg,8 (1-0-7),3,2004-2005,23y 76d,24y 187d
1145,36,"Moore, Callum",1996-09-03,193cm,85kg,8 (4-0-4),5,"2016, 2018",19y 352d,21y 320d
1195,28,"McAuliffe, Kane",2005-03-01,187cm,86kg,8 (1-0-7),,2024,19y 37d,19y 121d
26,,"Stainer, Percy",1888-10-04,,,7 (1-0-6),,1908,19y 232d,19y 274d
71,,"Woodhead, Herb",1888-04-02,171cm,,7 (2-1-4),,1910-1912,22y 84d,24y 74d
85,,"Price, Joe",1886-07-04,,,7 (2-0-5),2,1911,24y 341d,25y 25d
120,30,"Fitzpatrick, Jim",1886-07-21,180cm,,7 (1-0-6),,1913,26y 349d,27y 40d
160,27,"Marsham, Harry",1890-07-19,185cm,90kg,7 (4-0-3),4,1916,25y 327d,26y 31d
161,28,"Kearney, Jim",1893-07-04,183cm,79kg,7 (4-0-3),,1916,22y 349d,23y 46d
192,20,"Aumann, Ted",1897-12-29,183cm,76kg,7 (5-0-2),,1919,21y 153d,21y 209d
234,29,"Rush, Kevin",1901-03-29,175cm,,7 (1-0-6),4,1923-1924,22y 67d,23y 49d
279,7,"Waterhouse, George",1899-02-04,182cm,81kg,7 (3-0-4),2,1926,27y 86d,27y 219d
365,33,"Wilson, Fred",1912-07-17,182cm,78kg,7 (4-0-3),1,1937,24y 281d,25y 21d
371,33,"Broman, Alby",1917-01-19,173cm,76kg,7 (4-0-3),,1937-1939,20y 158d,22y 184d
399,21,"Brooks, Keith",1917-04-08,178cm,81kg,7 (6-0-1),,1941,24y 60d,24y 123d
428,10,"Cahill, Laurie",1912-09-22,171cm,74kg,7 (6-0-1),4,1943,30y 284d,31y 3d
447,26,"Cartwright, Stuart",1919-09-07,180cm,86kg,7 (3-0-4),,1945,25y 254d,25y 345d
474,6,"Evans, Max",1923-05-16,173cm,75kg,7 (4-1-2),4,1947-1948,24y 43d,25y 104d
486,13,"Webb, Kevin",1928-10-02,173cm,67kg,7 (4-0-3),,1949,20y 210d,20y 294d
500,6,"Sier, Gerry",1928-06-04,180cm,89kg,7 (4-0-3),,1950,21y 336d,22y 69d
546,24,"Sawatzky, Herb",1933-10-24,183cm,92kg,7 (5-0-2),,1954-1955,20y 210d,21y 300d
549,36,"Cox, Lance",1933-10-11,169cm,74kg,7 (2-0-5),,1954-1955,20y 286d,21y 222d
605,3,"Williams, Don",1939-08-16,184cm,80kg,7 (1-1-5),,1959-1960,19y 315d,20y 349d
621,14,"Callander, Kevin",1940-06-18,179cm,69kg,7 (2-0-5),1,1961-1962,20y 308d,21y 349d
711,15,"Ferguson, John",1949-03-19,185cm,76kg,7 (4-0-3),,1969,20y 73d,20y 157d
712,38,"Judd, Wayne",1948-10-26,185cm,86kg,7 (4-0-3),9,1969,20y 217d,20y 280d
713,23,"Miels, Brenton",1948-01-12,183cm,77kg,7 (5-0-2),1,1969-1970,21y 146d,22y 222d
776,35,"Mattson, Don",1955-10-30,191cm,91kg,7 (4-0-3),,1976,20y 177d,20y 254d
798,3,"Feltham, Paul",1948-10-01,175cm,78kg,7 (2-0-5),8,1978,29y 206d,29y 322d
800,32,"Parkes, Gary",1951-07-02,185cm,81kg,7 (3-0-4),6,1978-1979,26y 315d,27y 297d
812,28,"Williams, Peter",1957-12-14,193cm,96kg,7 (4-0-3),1,1979,21y 149d,21y 226d
815,39,"Considine, Craig",1959-06-18,184cm,88kg,7 (3-0-4),1,1979,20y 19d,20y 68d
872,48,"Crebbin, Tom",1964-06-22,175cm,74kg,7 (2-0-5),3,1985,21y 1d,21y 56d
884,26,"Cowie, Darryl",1961-03-15,196cm,90kg,7 (2-0-5),1,1986-1987,25y 77d,26y 111d
963,46,"Thiessen, James",1974-02-10,180cm,80kg,7 (0-0-7),3,1993,19y 156d,19y 199d
1031,43,"Ednie, Craig",1982-02-16,172cm,71kg,7 (2-0-5),3,2002,20y 78d,20y 153d
1043,15,"Marsh, Ben",1976-07-09,201cm,102kg,7 (1-0-6),1,2004,27y 283d,28y 50d
1045,30,"Weller, Luke",1982-01-13,190cm,93kg,7 (3-0-4),3,2004,22y 101d,22y 228d
1119,37,"Stephenson, Orren",1982-07-15,200cm,104kg,7 (5-0-2),,2013-2014,30y 300d,31y 264d
47,,"Schunke, Ernie",1882-10-26,169cm,,6 (1-0-5),,1909,26y 271d,26y 313d
66,,"McKenzie, Joe",1889-04-23,174cm,,6 (3-0-3),1,1910,21y 21d,21y 105d
82,,"Irwin, Les",1887-03-03,182cm,78kg,6 (2-0-4),,1911,24y 85d,24y 183d
102,17,"Ellingsen, Percy",1895-07-18,168cm,86kg,6 (1-0-5),5,1912,16y 333d,17y 44d
116,26,"Hutton, Cliff",1887-07-27,188cm,96kg,6 (2-0-4),1,1913,25y 287d,26y 34d
123,25,"McKendry, Bob",1889-08-18,173cm,60kg,6 (2-0-4),1,1914,24y 250d,24y 299d
194,19,"Weatherill, Harry",1893-10-07,185cm,86kg,6 (3-0-3),,1919,25y 278d,25y 341d
215,24,"Connors, Matt",1894-10-23,180cm,,6 (1-0-5),3,1922-1923,27y 230d,28y 327d
235,26,"Wootton, Stan",1895-04-28,177cm,74kg,6 (1-0-5),1,1923,28y 42d,28y 140d
245,23,"Chalmers, Eric",1900-11-29,168cm,,6 (3-0-3),4,1924,23y 156d,23y 240d
295,7,"Powell, Cyril",1898-03-05,178cm,76kg,6 (4-0-2),,1927,29y 98d,29y 210d
350,18,"Hearn, Bill",1914-03-04,178cm,71kg,6 (4-0-2),5,1935,21y 110d,21y 145d
369,9,"Uwins, Jack",1913-09-04,178cm,80kg,6 (3-0-3),,1937,23y 253d,23y 337d
385,25,"Currie, Jack",1915-12-22,175cm,71kg,6 (2-0-4),,1939,23y 163d,23y 198d
422,20,"McIlveen, Bob",1919-06-18,170cm,67kg,6 (3-0-3),,1943,23y 324d,23y 359d
431,16,"Hunt, Ray",1918-03-06,180cm,82kg,6 (5-0-1),2,1943,25y 154d,25y 203d
440,8,"Bice, Percy",1915-09-21,173cm,66kg,6 (3-0-3),,1944,28y 291d,28y 326d
490,6,"Wilson, Stan",1928-01-23,177cm,76kg,6 (3-0-3),2,1949,21y 132d,21y 216d
509,6,"Reiffel, Ron",1932-03-15,175cm,73kg,6 (2-0-4),,1951-1952,19y 149d,20y 147d
524,29,"Gibb, Ray",1928-12-05,188cm,81kg,6 (2-0-4),1,1952-1953,23y 241d,24y 169d
545,12,"Bradley, Kevin",1931-10-27,187cm,80kg,6 (4-0-2),10,1954,22y 207d,22y 249d
554,4,"Robson, John",1933-07-12,189cm,87kg,6 (2-0-4),4,1955,21y 299d,21y 348d
574,21,"Mitchell, Len",1935-05-29,185cm,96kg,6 (2-0-4),1,1957,21y 328d,21y 361d
578,37,"Peake, Gordon",1935-01-26,178cm,85kg,6 (2-0-4),,1957-1958,22y 119d,23y 195d
580,3,"Williams, James",1937-02-01,178cm,75kg,6 (3-0-3),1,1957-1958,20y 190d,21y 112d
601,40,"Wilson, John",1940-05-18,175cm,73kg,6 (2-0-4),2,1959,19y 12d,19y 54d
603,34,"Rees, Bob",1938-10-03,178cm,66kg,6 (3-0-3),1,1959,20y 246d,20y 295d
614,22,"Mundy, Fred",1941-01-05,180cm,86kg,6 (1-0-5),1,1960,19y 130d,19y 193d
615,41,"Morrison, Brian",1938-07-14,180cm,80kg,6 (1-1-4),,1960,21y 312d,21y 354d
756,20,"Teasdale, Graham",1955-06-26,193cm,92kg,6 (5-0-1),16,1973,17y 348d,18y 32d
757,34,"Jackson, Francis",1954-08-24,184cm,83kg,6 (4-0-2),,1973-1974,18y 310d,20y 7d
799,28,"Grinter, Barry",1951-10-11,191cm,97kg,6 (2-0-4),,1978,26y 207d,26y 319d
829,32,"Martin, Geoff",1958-06-25,180cm,70kg,6 (3-0-3),3,"1981, 1983",23y 37d,24y 274d
833,24,"Sutton, Darryl",1952-07-27,183cm,84kg,6 (3-0-3),,1982-1983,29y 259d,30y 249d
835,26,"Brewer, Ross",1953-08-14,188cm,75kg,6 (4-0-2),8,1982-1983,28y 274d,29y 280d
849,39,"Conlan, Greg",1963-01-16,185cm,82kg,6 (2-0-4),3,1983-1984,20y 195d,21y 180d
920,49,"Stockdale, Mark",1968-10-26,195cm,89kg,6 (1-0-5),2,"1989, 1991",20y 284d,22y 227d
921,54,"Young, Cory",1971-03-06,177cm,75kg,6 (1-0-5),1,1989-1990,18y 166d,19y 180d
922,11,"Bowden, Sean",1970-09-22,183cm,82kg,6 (1-0-5),,1990-1991,19y 190d,20y 191d
992,36,"Manfield, Matthew",1977-04-14,192cm,88kg,6 (6-0-0),2,1997-1998,19y 350d,21y 130d
1046,34,"Fletcher, Simon",1978-08-17,188cm,86kg,6 (3-0-3),,2004,25y 257d,25y 307d
1117,15,"Knights, Chris",1986-09-25,184cm,84kg,6 (3-0-3),7,"2013, 2015",26y 201d,28y 205d
1192,20,"Koschitzke, Jacob",2000-07-11,196cm,94kg,6 (1-0-5),5,2024,23y 242d,23y 355d
24,,"OConnell, Stan",1883-04-29,,,5 (1-0-4),3,1908,25y 17d,25y 59d
44,,"Henderson, Bill",1887-12-14,,,5 (1-0-4),1,1909,21y 215d,21y 264d
93,21,"Wells, Charlie",1892-04-13,175cm,72kg,5 (2-0-3),5,1912,20y 14d,20y 51d
96,13,"Price, Dick",1891-06-26,175cm,,5 (0-0-5),,1912,20y 334d,21y 59d
119,28,"Bristow, Jack",1886-09-30,177cm,,5 (2-0-3),,1913,26y 271d,26y 334d
175,27,"Fox, Arthur",1894-01-21,170cm,64kg,5 (1-0-4),1,1917-1918,23y 181d,24y 124d
209,21,"Nott, Cyril",1898-12-04,180cm,70kg,5 (3-0-2),1,1921-1922,22y 168d,23y 174d
217,26,"Birtles, Arthur",1899-07-21,178cm,62kg,5 (3-0-2),5,1922,22y 331d,23y 29d
261,7,"Yates, Stan",1900-06-06,179cm,89kg,5 (1-1-3),,1925,24y 344d,25y 14d
284,14,"Corfield, Joe",1895-03-08,177cm,76kg,5 (4-0-1),,1926,31y 103d,31y 152d
289,28,"Jamison, Sam",1905-11-13,180cm,73kg,5 (3-0-2),,1926-1929,20y 302d,23y 193d
375,26,"McCrory, Alan",1918-02-26,178cm,73kg,5 (2-0-3),2,1938,20y 56d,20y 182d
417,32,"Martin, Des",1913-08-02,171cm,73kg,5 (3-0-2),5,1942,28y 364d,29y 48d
439,3,"Deagan, Kevin",1923-12-25,183cm,73kg,5 (4-0-1),3,"1944, 1946",20y 182d,22y 158d
505,34,"Gardner, Len",1931-02-16,180cm,81kg,5 (2-0-3),,1951,20y 64d,20y 176d
541,4,"Hart, Don",1930-09-29,180cm,77kg,5 (3-0-2),2,1954,23y 202d,23y 319d
561,5,"Carrick, Bill",1934-11-23,187cm,79kg,5 (2-0-3),5,1956,21y 150d,21y 241d
585,30,"Meehan, Jim",1935-06-30,183cm,81kg,5 (1-0-4),2,1958,22y 314d,23y 33d
593,38,"DArcy, John",1935-08-22,185cm,86kg,5 (1-0-4),1,1959,23y 239d,23y 309d
625,33,"Burrows, Dick",1941-10-17,189cm,81kg,5 (3-0-2),,1961,19y 201d,19y 313d
631,50,"Beaven, Bob",1941-03-12,180cm,76kg,5 (0-0-5),,1961,20y 118d,20y 167d
665,42,"Morrissey, Terry",1944-12-07,175cm,76kg,5 (1-0-4),2,1964,19y 161d,19y 259d
672,34,"Deery, Maurie",1947-01-07,185cm,73kg,5 (1-0-4),1,1964-1965,17y 221d,18y 128d
719,12,"Morrison, Paul",1952-07-22,184cm,80kg,5 (3-0-2),2,1970,17y 284d,17y 340d
726,54,"Craig, Ian",1952-10-23,175cm,80kg,5 (3-0-2),,1970-1971,17y 303d,18y 295d
761,39,"Parsons, Steve",1956-10-19,,,5 (4-0-1),1,1974,17y 183d,17y 225d
783,51,"Borchard, Ian",1957-08-05,177cm,76kg,5 (3-0-2),2,"1976, 1978",19y 9d,20y 288d
787,34,"Miller, David",1957-10-07,188cm,86kg,5 (2-0-3),7,1977,19y 200d,19y 268d
810,41,"Kershaw, Kim",1959-01-25,198cm,106kg,5 (1-1-3),,1979-1980,20y 100d,21y 78d
816,23,"Oborne, Rod",1953-09-06,183cm,76kg,5 (4-0-1),7,1979-1981,25y 304d,27y 245d
826,27,"Semmens, Robert",1961-12-05,173cm,79kg,5 (4-0-1),,1981,19y 162d,19y 197d
859,36,"Ablett, Kevin",1958-03-26,185cm,86kg,5 (1-0-4),,1984,26y 82d,26y 152d
873,45,"Bayes, Gavin",1965-05-07,191cm,90kg,5 (1-0-4),2,1985-1987,20y 95d,22y 37d
914,5,"Peters, Wayne",1969-06-04,193cm,80kg,5 (1-0-4),1,1988-1989,19y 77d,19y 357d
931,51,"Walker, Robert",1970-03-20,188cm,87kg,5 (3-0-2),,1990-1992,20y 166d,22y 16d
949,1,"ODwyer, Steven",1966-01-19,201cm,100kg,5 (1-0-4),,1992,26y 125d,26y 174d
953,23,"Eishold, Simon",1967-03-26,186cm,87kg,5 (1-0-4),,1993,26y 2d,26y 155d
1021,38,"Haynes, Ben",1981-06-27,182cm,83kg,5 (3-0-2),,2000-2001,19y 19d,20y 52d
1086,36,"Silvester, Jarrod",1985-01-31,191cm,89kg,5 (1-1-3),,2009,24y 148d,24y 209d
1133,39,"Drummond, Nathan",1995-01-19,182cm,86kg,5 (1-0-4),2,2015-2016,20y 95d,21y 208d
1135,34,"McBean, Liam",1994-08-25,202cm,93kg,5 (3-0-2),1,2015-2016,20y 265d,21y 334d
1140,15,"Moore, Andrew",1991-05-30,189cm,87kg,5 (1-0-4),1,2016,24y 321d,25y 89d
1188,26,"Coulthard, Matthew",2001-05-11,176cm,76kg,5 (1-0-4),2,2023-2024,22y 72d,23y 7d
12,,"McDonald, Ernie",1883-01-26,184cm,,4 (1-0-3),,1908,25y 97d,25y 118d
31,,"Speakman, Percy",1885-11-05,179cm,83kg,4 (2-0-2),4,1908,22y 249d,22y 277d
33,,"St John, George",1878-04-14,,,4 (0-0-4),1,1908-1909,30y 116d,31y 38d
41,,"Murray, Alex",1885-12-26,178cm,68kg,4 (1-0-3),1,1909,23y 154d,23y 203d
61,,"Lacey, Jim",1887-11-22,,,4 (1-0-3),2,1910,22y 159d,22y 201d
84,,"MacGregor, Johnny",1889-12-03,170cm,,4 (1-0-3),,1911,21y 184d,21y 273d
90,23,"Hogan, Gerald",1891-09-06,175cm,73kg,4 (1-0-3),4,1911-1912,19y 354d,20y 290d
101,20,"Smith, Percy",1887-09-30,,,4 (0-0-4),1,1912,24y 252d,24y 273d
108,4,"Sheehan, Percy",1883-07-05,180cm,,4 (0-0-4),,1912,29y 15d,29y 50d
113,23,"Wilson, Lou",1887-04-19,180cm,,4 (0-0-4),,"1913, 1915",26y 7d,28y 5d
118,16,"Phillips, Len",1891-03-29,185cm,77kg,4 (2-0-2),2,1913,22y 77d,22y 133d
140,9,"Amery, Bill",1894-09-16,,,4 (2-0-2),,1915,20y 227d,20y 269d
170,30,"Godfrey, Dick",1888-09-12,,,4 (0-1-3),,1917,28y 265d,28y 291d
171,20,"Davey, Ted",1897-08-29,,,4 (1-0-3),1,1917,19y 305d,19y 347d
183,28,"Fisher, Ted",1887-07-11,179cm,84kg,4 (1-0-3),1,1918,30y 353d,31y 9d
221,27,"Gibb, Rupert",1900-08-25,183cm,83kg,4 (2-0-2),,1922,22y 1d,22y 22d
267,23,"Moore, Vern",1895-05-11,164cm,,4 (2-0-2),1,1925,30y 61d,30y 117d
283,26,"Anderson, Alby",1894-08-26,183cm,83kg,4 (2-0-2),,1926,31y 285d,32y 16d
301,28,"Outram, Roy",1901-02-19,178cm,76kg,4 (3-0-1),2,1928,27y 90d,27y 106d
311,25,"Harris, Stan",1909-03-01,170cm,70kg,4 (3-0-1),4,1929,20y 78d,20y 134d
332,10,"Collinson, Ted",1907-05-26,175cm,70kg,4 (2-1-1),1,1932,24y 354d,25y 9d
351,28,"Ripper, Bill",1912-12-10,175cm,76kg,4 (2-0-2),,1935,22y 194d,22y 271d
362,28,"Patton, Les",1915-10-24,168cm,66kg,4 (1-0-3),3,1936-1937,20y 317d,21y 238d
374,30,"MacBeth, Jim",1914-04-07,170cm,83kg,4 (2-0-2),,1938,24y 16d,24y 86d
409,7,"Ford, Eddie",1917-09-22,185cm,82kg,4 (4-0-0),,1942-1943,24y 236d,25y 256d
452,28,"Barnewall, Kevin",1925-08-04,179cm,76kg,4 (2-0-2),,1945,19y 337d,20y
469,13,"Knott, Dan",1918-06-20,178cm,75kg,4 (2-0-2),,1947,28y 331d,29y 43d
471,13,"Cook, Wally",1925-12-12,177cm,69kg,4 (3-0-1),,1947,21y 177d,21y 198d
482,13,"Watson, Clive",1924-04-12,173cm,66kg,4 (2-0-2),1,1948,24y 117d,24y 145d
507,25,"ORourke, Basil",1930-01-27,173cm,64kg,4 (1-0-3),,1951,21y 126d,21y 168d
516,25,"Western, Albert",1923-02-13,178cm,89kg,4 (1-0-3),3,1952,29y 80d,29y 157d
538,20,"Fisher, Reg",1932-08-31,180cm,84kg,4 (2-1-1),2,1953,20y 307d,20y 342d
566,31,"Amery, Les",1934-12-17,170cm,81kg,4 (0-0-4),2,1956,21y 147d,21y 175d
568,37,"Davis, Martin",1936-11-27,177cm,81kg,4 (2-0-2),1,1956,19y 190d,19y 216d
583,19,"McKenzie, Bill",1934-12-11,183cm,83kg,4 (3-0-1),,1958,23y 122d,23y 143d
654,52,"Brownhill, Bob",1943-12-05,179cm,80kg,4 (1-0-3),,1963,19y 199d,19y 269d
716,33,"Smith, Anthony",1951-04-12,188cm,85kg,4 (3-0-1),1,"1969, 1972",18y 119d,21y 122d
739,48,"Miles, Ian",1952-10-15,183cm,71kg,4 (2-0-2),,1971-1972,18y 275d,19y 246d
850,27,"Lockman, Michael",1963-08-29,185cm,85kg,4 (0-0-4),,"1983, 1986",19y 349d,22y 226d
861,26,"Fuller, Robert",1964-10-21,185cm,77kg,4 (2-0-2),1,1984,19y 295d,19y 316d
865,27,"Larkins, Trevor",1963-08-06,177cm,77kg,4 (2-0-2),4,1985,21y 236d,21y 257d
868,11,"Lovell, Noel",1961-09-26,178cm,76kg,4 (1-0-3),,1985-1986,23y 192d,24y 303d
875,15,"McCormack, Peter",1956-08-01,188cm,86kg,4 (1-0-3),,1986,29y 240d,29y 261d
889,27,"Morrish, Paul",1968-05-12,188cm,79kg,4 (1-0-3),,"1986, 1989",18y 110d,21y 15d
909,48,"Barlow, Paul",1968-11-28,193cm,83kg,4 (1-0-3),,1988,19y 149d,19y 169d
917,37,"Lounder, Richard",1967-01-20,203cm,116kg,4 (2-0-2),5,1989,22y 100d,22y 120d
937,36,"Trewella, Mark",1966-06-28,186cm,84kg,4 (2-0-2),4,1991,24y 289d,25y 64d
946,39,"Gwilliam, Brad",1966-08-09,190cm,85kg,4 (1-0-3),,1992,25y 232d,25y 254d
964,42,"Fox, Brad",1969-10-09,185cm,92kg,4 (0-0-4),,1993,23y 295d,23y 317d
972,32,"Robins, Haydn",1972-08-09,184cm,80kg,4 (1-0-3),1,1994,21y 229d,21y 249d
997,34,"Thompson, Ewan",1977-03-29,179cm,78kg,4 (1-0-3),1,1997,20y 99d,20y 119d
1020,31,"White, James",1980-01-21,181cm,74kg,4 (2-0-2),1,2000,20y 127d,20y 149d
1039,30,"McGrath, Martin",1984-02-23,180cm,78kg,4 (1-0-3),6,2003,19y 153d,19y 175d
1088,31,"Thomson, Adam",1986-08-21,184cm,84kg,4 (0-0-4),1,2009-2010,23y 1d,23y 226d
1095,44,"Taylor, Troy",1991-09-12,189cm,77kg,4 (0-0-4),3,2010,18y 218d,18y 351d
1099,33,"Gourdis, David",1989-03-14,193cm,89kg,4 (0-0-4),,2010-2011,21y 153d,22y 103d
1100,42,"OReilly, Jamie",1988-04-28,184cm,78kg,4 (1-0-3),,2010-2011,22y 108d,23y 122d
1187,43,"Bauer, Jacob",2002-06-04,192cm,86kg,4 (1-0-3),4,2023,21y 32d,21y 84d
18,,"Williams, Charles",1881-01-22,179cm,,3 (1-0-2),,1908,27y 101d,27y 136d
25,,"Pemberton, Jack",1883-01-11,180cm,83kg,3 (0-0-3),,1908,25y 133d,25y 168d
38,,"Tottey, Bill",1888-10-06,183cm,86kg,3 (1-0-2),,1909,20y 207d,20y 228d
46,,"Coles, Jack",1886-09-07,,,3 (1-0-2),2,1909,22y 320d,22y 341d
53,,"Cooke, Sam",1883-11-05,,,3 (0-0-3),2,1909,25y 289d,25y 303d
54,,"Kirkpatrick, Lyster",1885-07-11,185cm,,3 (0-0-3),,1909,24y 41d,24y 55d
68,,"Burton, Harry",1887-03-18,,,3 (2-0-1),1,1910,23y 71d,23y 120d
76,,"OConnor, George",1892-03-28,173cm,,3 (1-0-2),2,1910-1911,18y 159d,19y 39d
88,,"Brooker, Norm",1889-09-28,177cm,,3 (1-0-2),,1911,21y 325d,21y 339d
89,,"Wollacott, Bertie",1890-04-05,177cm,,3 (1-0-2),3,1911,21y 136d,21y 150d
121,13,"Twomey, Frank",1890-01-22,191cm,,3 (0-0-3),1,1913-1914,23y 199d,24y 107d
124,21,"McLear, George",1891-08-21,178cm,,3 (0-0-3),,1914,22y 247d,22y 345d
141,13,"Matthews, Herb",1894-09-02,180cm,89kg,3 (2-0-1),,1915,20y 248d,20y 283d
144,18,"Marshall, Bill",1892-03-26,184cm,87kg,3 (1-0-2),,1915,23y 85d,23y 99d
152,20,"Barnes, Bert",1890-05-22,,,3 (1-0-2),4,1915-1916,25y 91d,25y 357d
164,28,"Heath, Victor",1890-07-26,,,3 (1-0-2),,1917,26y 290d,26y 353d
176,20,"Spicer, Reefton",1898-07-17,173cm,,3 (1-0-2),1,1917-1918,19y 11d,20y 24d
179,14,"McCulloch, Leo",1896-05-31,180cm,,3 (2-0-1),1,1918,21y 352d,22y 15d
184,27,"Burchill, Jim",1897-10-25,170cm,,3 (1-0-2),5,1918,20y 268d,20y 282d
213,22,"Smith, Charles",1901-05-26,177cm,,3 (3-0-0),,1921-1922,20y 65d,21y 57d
222,8,"Wright, Billy",1900-08-15,,,3 (1-0-2),,1922-1923,22y 18d,22y 277d
249,25,"Gale, Jack",1899-08-28,173cm,80kg,3 (2-0-1),,1924,24y 270d,24y 361d
260,6,"Barrett, Sam",1905-01-22,183cm,81kg,3 (1-0-2),1,1925,20y 114d,20y 170d
264,14,"Wood, Fred",1901-03-29,182cm,80kg,3 (0-1-2),,1925,24y 62d,24y 76d
288,5,"Anderson, Charlie",1903-08-19,183cm,77kg,3 (1-0-2),,1926,23y 2d,23y 23d
